Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf
45857086,"The Burning God (The Poppy War, #3)",R.F. Kuang,"Kuang, R.F.",,0008339147,9780008339142,0,4.28,Harper Voyager,Hardcover,622,2020,2020,,2024/08/19,"to-read, 2026","to-read (#19), 2026 (#4)",to-read
41118857,"The Dragon Republic (The Poppy War, #2)",R.F. Kuang,"Kuang, R.F.",,,,0,4.34,Harper Voyager,Hardcover,658,2019,2019,,2024/08/19,"to-read, 2026","to-read (#18), 2026 (#3)",to-read
35068705,"The Poppy War (The Poppy War, #1)",R.F. Kuang,"Kuang, R.F.",,0062662597,9780062662590,0,4.16,Harper Voyager,Kindle Edition,545,2018,2018,,2024/12/21,"to-read, 2026","to-read (#30), 2026 (#2)",to-read
200776812,Butter,Asako Yuzuki,"Yuzuki, Asako",Polly Barton,0063236400,9780063236400,0,3.45,Ecco,Hardcover,464,2024,2017,,2025/08/12,to-read,to-read (#91),to-read
53285047,"Bunny (Bunny, #1)",Mona Awad,"Awad, Mona",,0525559752,9780525559757,0,3.46,Penguin Books,Paperback,305,2020,2019,,2026/01/10,to-read,to-read (#90),to-read
129915654,Pride and Prejudice,Jane Austen,"Austen, Jane",,,,0,4.30,Peter Pauper Press,Hardcover,400,2023,1813,,2026/01/08,to-read,to-read (#88),to-read
200246606,"Goldfinch (The Plated Prisoner, #6)",Raven Kennedy,"Kennedy, Raven",,,,4,4.27,Penguin Books Ltd ,Hardcover,688,2024,2024,2026/01/06,2025/12/29,,,read
27793819,Madonna in a Fur Coat,Sabahattin Ali,"Ali, Sabahattin","Maureen Freely, Alexander Dawe",014198127X,9780141981277,0,4.32,Penguin,Kindle Edition,168,2016,1943,,2024/08/19,to-read,to-read (#20),to-read
41057294,Normal People,Sally Rooney,"Rooney, Sally",,1984822179,9781984822178,0,3.81,Crown,Hardcover,273,2019,2018,,2025/07/14,to-read,to-read (#41),to-read
194802722,Funny Story,Emily Henry,"Henry, Emily",,,,0,4.19,Berkley,Kindle Edition,395,2024,2024,,2025/07/30,to-read,to-read (#48),to-read
61314205,Gold,Raven Kennedy,"Kennedy, Raven",,,,5,4.10,,Kindle Edition,674,2023,2023,2025/12/29,2025/12/09,,,read
58159316,"Glow (The Plated Prisoner, #4)",Raven Kennedy,"Kennedy, Raven",,,,5,4.12,Raven Kennedy,Kindle Edition,738,2022,2022,2025/12/25,2025/12/09,,,read
